controle_review_longo,data,nota,Notas
"O Novo Fire TV Stick corrigiu as limitações da versão Lite com um controle mais completo e a possibilidade de assistir conteúdo em 4K na sua versão mais cara. O aparelho é excelente no que se propõe, ao transformar sua TV antiga em uma Smart TV com um ótimo custo-benefício. Os principais aplicativos como Youtube, Netflix, Spotify e Prime VIdeo são bem otimizados e fluidos, trazendo ao usuário uma sensação igual ou até melhor do que assistir numa Smart TV. Vale ressaltar que, caso você tenha uma Smart TV mais antiga e com um sistema mais defasado, seja ela Full HD ou 4K, a aquisição do Fire TV Stick também é uma excelente ideia.
PRÓS
- Entrega rápida (Loggi)
- Sistema rápido e intuitivo
- Os principais aplicativos de streaming são bem otimizados
- Ótimo custo benefício
- Controle remoto completo e compacto, funciona por Bluetooth
- Integração total com a Alexa
CONTRAS
- Não tem Globoplay na loja oficial, sendo necessário acessar pelo Silk Browser (navegador) ou instalar o APK de uma versão antiga e ultrapassada
- O controle remoto executa comandos sozinho (mover pros lados e pra cima), na maioria das vezes, quando há um dispositivo bluetooth conectado, como uma caixa de som ou fone de ouvido
- Você não vai obter o desempenho máximo do aparelho conectando na porta USB da TV, sendo necessário conectar na tomada com a fonte ""espaçosa"" da Amazon (a mesma utilizada nos dispositivos Echo)
- Não é possível personalizar a tela de descanso no Brasil com imagens de sua preferência",2021-05-28,5,Positivo
"O produto é muito bom. Fácil de instalar, controle legal e simples de ser usado. Único problema é que, diferente da NetFlix que é muito intuitivo, a opção de ""continuar assistindo"" no Amazon Prime é cheia de problemas...nada intuitivo, nunca funciona, enfim, uma droga. Fora isso é uma ótima compra.",2021-07-05,4,Positivo
"O produto apresentou problemas com 2 meses de uso, desliga sozinho, não obedece comandos e não está rodando vídeos nem filmes, mesmo com o modem com internet de 500m a 2 metros da televisão. Defeito com 2 meses de uso",2021-10-24,1,Negativo
"Muito bom! Fácil instalação e manuseio,e uma ótima experiência quanto à integração da Echo Dot. Somente duas ressalvas: 1.Preste bastante atenção nas entradas HDMI do seu televisor,pois para que os comandos na tv funcionem, é necessário que uma das portas (que é justamente a qual você irá conectar) deverá ser CEC 2.A transportadora não tem cuidado algum com seu produto ( isso não é novidade,né?) então é bem provável que venha com alguns amassados na caixa,mas nada que danifique-o .",2021-07-10,5,Positivo
"O aparelho cumpre o que promete. Apresenta um bom desempenho e é fácil utilizar. A integração com a Alexa é muito boa. Utilizei o aparelho com uma TV antiga e ele conseguiu controlar o volume e algumas funções. Consegui também, com o Bluetooth, enviar o som para uma Soundbar da LG (controlando inclusive o volume com o controle remoto ou com a Alexa). Achei ruim apenas a necessidade de cadastrar um cartão de crédito para baixar os App que não estão pré-instalados, mesmo que sejam gratuitos ( o You Tube, por exemplo). Para quem gosta da GLOBO, não existe um App oficial para baixar, embora seja possível instalar por outros meios. Resumindo, se sua TV é antiga ou não é uma SmartTV ( ou está desatualizada), vale muito a pena comprar um.",2021-10-29,5,Positivo
"Não superou minhas expectativas, mas, quebra o galho. A imagem ainda deixa a desejar e sofre com interferência no sinal do wi-fi fazendo com que a qualidade da imagem horas fique péssima. Aconselho a quem comprar usar o Hub com conexão ethernet e ligar um cabo ethernet direto no moldem ou roteador p poder evitar a instabilidade da conexão do aparelho com o wi-fi. A interação com Alexa é básica, nem tente algo mais detalhado. Seja basicamente objetivo e específico ao máximo usando poucas palavras. O controle é realmente muito bom em relação ao da versão anterior, mas pode melhorar ainda mais pondo o sensor de ponteiro de mouse. No mais é simples e fácil instalar.",2021-06-11,3,Positivo
"Adorei. Funciona melhor do que eu estava esperando. A instalação foi bem prática, é só seguir o manual que vem na caixa, e se surgir alguma outra dúvida é fácil de procurar na internet. Também foi fácil de conectar com a minha conta Amazon. O único ""porém"" que observei nos teste foi que o a função de volume do controle remoto do Stick não funciona na minha TV, mas esse é um problema de compatibilidade com o meu modelo de TV que é da Philco e eu já esperava por isso, basta usar o controle remoto da própria TV para mudar o volume. Tirando o volume, todas as outras funções do controle remoto do Stick estão funcionando normalmente. Depois de fazer a instalação e configuração do Stick, é só escolher o App que quer e baixar. Muito bom :)",2021-12-29,5,Positivo
"Acredito que o produto que tive estava com defeito, após um tempo, o aparelho travava e reiniciava sozinho, resolvi devolver o produto. Existem muitas funcionalidades boas, mas esse tipo de problema acabou com a experiência e não desejo tentar a sorte novamente, pois o aparelho não é barato.",2021-05-23,3,Positivo
"Tenho uma tv que não era smartTV, nem Bluetooth, aí ao comprar um sound Bar JBL160 para o local onde fica a tv não conseguia colocar áudio no sound bar, aí comprei esse produto e ele é melhor do que eu imaginei, resolveu minha dor e ainda tem muito mais, rápido, vários aplicativos, o controle remoto controla a TV ETC, recomendo a amigos e familiares pois vale a pena, ainda mais com esse preço",2021-06-04,5,Positivo
"O unico aplicativo de streaming não suportado é o da Globoplay, os demais foram extremamente simples de instalar, mais tranquilo até do que muitas TVs Android TV.
Eu ja possuia um Chromecast, o Fire TV alem de possibilitar o espelhamento do celular ou tablet da mesma forma que o ele, ainda tem a vantagem de ter os apps instalados, o que praticamente acaba com a necessidade de espelhar um dispositivo para assistir um filme ou série. Integrado com um Echo Dot melhor ainda, pois quase tudo voce consegue fazer com comando de voz.",2021-12-16,5,Positivo
"Experimentei o Fire stick durante alguns dias e de verdade ele me surpreendeu muito. Fácil instalação e bastante intuitivo ele lhe proporciona uma ótima experiência com recursos smart. A única coisa que poderia melhorar era aumentar os recursos disponível na loja da Amazon para download de aplicativos ou ter compatibilidade com app de sistema Android para suprir a deficiência de aplicativos dentro do ambiente Amazon. HBO e outros players ainda não tem aplicativos disponível na base da Amazon o que frusta o público com relação a experiência nesses serviços. Há possibilidade de utilizar atrás do navegador que tem no Fire stick, porém a experiência cai um pouco. Mesmo assim contudo continua sendo um excelente aparelho. Recomendo",2021-12-10,4,Positivo
"Tenho um de cada modelo. Sem controle, com controle e o 4k com controle. A única ressalva é a ausência do HBO MAX que é na atualidade o streaming que mais uso e o Globo Play que também não tem um app disponível para instalação. Consigo assistir HBO MAX pela o aplicativo nativo de internet o Amazon Silk. A experiência não é a mesma que a do aplicativo mas é a que existe sem a necessidade de baixar aplicações não nativas.",2021-12-08,5,Positivo
"Produto excelente! Já tive um stick de outra marca mas N gostei tanto assim.. Esse Fire stick da Amazon é muito melhor! A qualidade de som com dolby atmos é outro nível 👏 além de ser muito rápido não trava, não engasga,O controle remoto funciona super bem e pegou na certinho na TV 🙌 muito bom mesmo vale cada centavo! Recomendo muito 😉",2021-12-09,4,Positivo
"O Fire TV atendeu muito bem as minhas necessidades aqui em casa. Tenho uma televisão aqui antiga que não é uma smart tv. Muitos apps disponíveis. O lance é que eu achei ele um pouquinho lento. Nada que incomode mas você percebe que falta um pouquinho de processador aí. Controle remoto excelente! Instalação tranquila! A qualidade da imagem também é muito boa! Antes eu tinha aqui um decoder ""smart"" da vivo na tv. Assim que comecei a ver o youtube vi que a imagem estava melhor!",2022-02-24,4,Positivo
"Uso pra ver programas de Streaming, apenas. Bom fluxo e não trava. Instalação rápida e fácil. As conversas com a Alexa são bem superficiais. O Robô Ed, um programa conversa por chat desenvolvido pela Petrobrás que era famoso há muitos anos atrás na internet tinha diálogos mais construtivos, coerentes e informativos.",2021-12-28,5,Positivo
"TV deveria ser assim. Consumimos conteúdo que escolhemos ver, não faz mais sentido uma sequência de canais numéricos para assistir o que estiver passando no horário que a emissora escolheu. Nossa vida é muito corrida e queremos pesquisar e assistir ao que nos agrada no horário mais confortável para nós. A busca por voz é simplesmente perfeita! Ela nos entende perfeitamente, mesmo em ambientes com ruído. O desempenho do aparelho é excelente, bem como a integração com outros dispositivos como um som bluetooth. Parabéns à Amazon por mais esse produto maravilhoso! Virei fã de vocês, tenho um Kindle, amazon prime, já contratei serviços na aws e agora conheci mais um produto maravilhoso que é o Fire TV. Muito bom!",2021-06-09,5,Positivo
"Pelo que pesquisei, não tem como controlar o volume do aparelho em si, só o da TV. Eu uso fone P2 conectado a TV, e agora tô sem controle algum sobre o volume dos conteúdos. Eu acho bizarro não ter essa opção. E outra, minha TV tem HDMI CEC e não consegui de maneira alguma usar o controle remoto nela. Provavelmente vou devolver e voltar para meu Chromecast ou comprar um concorrente.",2021-11-24,2,Negativo
"Produto excelente. Instalei em uma TV Smart mais antiga que o sistema operacional da TV era muito lento e não tinha como instalar alguns aplicativos mais recentes. O Fire Stick atendeu muito bem. As respostas das comandos são muito rápidas, consegui instalar todos os aplicativos que preciso, a imagem ficou com uma qualidade bem melhor também. O controle funcionou tudo certinho, com controle de volume da TV. A Alexa faz tudo o que precisa por voz, desde ajustar volume, desligar a TV, avançar e retroceder os filmes, etc.
E o serviço de entrega da Amazon deu show. Comprei no final da tarde de um dia e recebi no inicio da tarde do dia seguinte. Menos de 24 horas pra uma cidade do interior. Recomendo!",2022-02-17,5,Positivo
"Atendeu às expectativas. Fica melhor quando integrado com um dispositivo echo. Até agora não possui globoplay mas da pra instalar o app de forma não oficial. O controle é muito leve e parece ser frágil. A função voz no controle é muito útil para não ter que digitar quando for pesquisar algo pra assistir. Os botões de volume do controle funcionam com um controle universal e controlam o volume da tv e o botão liga/desliga também funciona na tv. O firestick precisa ser ligado direto na tomada, mas na minha tv ele funcionou apenas ligado no usb da própria tv.",2021-12-31,5,Positivo
"apesar de já ter SmartTV, com o tempo os APP's da TV não se atualizam e começam a ficar lerdo. Com o Firestick ficou perfeito e é muito rapido. Além dos comandos básicos que se integraram com a TV de volume e ligar e desligar direto no controle do Fire.
Este ja é o segundo Firestick que adquiro... consigo levar para viajar e utilizo até monitor do PC e TV de tubo (com adaptador AV para hdmi) para utiizar os APP's do Fire
Única reclamação, ainda não tem APP do HBOMax ou Go.",2021-10-29,4,Positivo
"Um ótimo produto! O único porém é que não existem vários apps na loja. Existe como instalar aplicativos que não estão na loja, porém somente um usuário mais avançado consegue executar tal procedimento. A Amazon deveria facilitar a instalação de apps que não constam na lista.
Um outro detalhe que perde um pouco para concorrentes como Chromecast é a transmissão direta via celular, que aparentemente funciona apenas com aplicativos certificados da amazon, enquanto nos outros produtos como Chromecast qualquer aplicativo que possui cast fará transmissão.
No entanto isso não invalida a compra, é um produto excelente!
Caso a Amazon faça essas alterações o produto se tornará perfeito!",2022-02-04,4,Positivo
"Foi bem fácil de instalar, a tv vai perguntando, você clica aqui ou ali e tudo se resolve. Na segunda tentativa já sincronizou com o volume da tv e os outros comandos da TV no controle do Fire stick. Não posso falar sobre integração com a Alexa pois ainda não a tenho.",2021-11-16,5,Positivo
"O controle do firestick é ótimo pq controlar a tv só com ele, me faz precisar apenas de um controle. Fora isso, ele une o melhor dos dois mundos pq é como se fosse uma apple tv, mas também é possível entrar no celular pelo app e transmitir um vídeo do youtube pro firestick, igual no Chromecast. Fora isso, após transmitir, é possível mudar a velocidade do vídeo(coisa que não dá no Chromecast)... Eu não conseguia mais assistir vídeos em 1.0x de velocidade kkkkkk
Fora isso, é incrível poder falar ""Volte 30 segundos"" e ele voltar exatamente o quanto a gente pedir.
Vale muito a pena!",2021-05-19,5,Positivo
"Aparelho chegou certinho, antes da data de entrega prevista. Minha TV Samsung é LCD tem mais de 10 anos já, com esse aparelho ganhou vida, imagem com muita qualidade, som perfeito e controle que funcionou perfeito. Único ponto que me incomodou foi o fato de que para baixar os apps que são gratuitos precisa colocar um cartão na conta Amazon, achei um absurdo ter que informar uma forma de pagamento para baixar apps gratuitos. Poderiam repensar essa parte, demorei a entender o pq não conseguia baixar nada, sendo que informa que os apps são gratuitos. Consegui colocar um cartão e baixar os apps, porém deixo minha insatisfação com esse ponto.",2021-11-12,4,Positivo
"Esse já é o meu 4 fire tv que compro. O primeiro durou até 2020 até que fiz upgrade para o que tem comando de voz. Viciei na Alexa, e comprei essa versão, e vejo com defeito :/ Comprei novamente, e até agora roda que é uma beleza, aproveitei a promo da black Friday e adiquiri mais 1.
Prós: Para aqueles que já possuíam outras versões, a interface continua a mesma, sem muita dor de cabeça.
Interage com a Alexa independente do dispositivo (app, echo...)
Contra: Ainda falta atualização do sistema operacional. Tem app novos do mercado já na loja de app, porém ainda falta alguns como HBO MAX, GLOBOPLAY entre outros.",2021-12-13,5,Positivo
"Mais incrível do que eu imaginava.... Supriu totalmente as minhas necessidades, deixou bem mais fácil de encontrar filmes e séries colocando todos de todos os meus apps em um mesmo lugar. Muito legal que da pra baixar outros apps, tem até Crunchyroll. O que mais me impressionou foi o fato da Alexa fazer muitas coisas que eu nem pensei que ela saberia fazer. Uma dessas coisas foi pedir pra ela trocar o input do HDMI 4 pro 1 que é onde minha net opera. Achei isso incrível. O controle do fire TV substitui perfeitamente o da tv normal, ele faz de tudo! Adorei e recomendo total! Muito fácil de instalar tbm e chegou super rápido com prime.",2021-08-24,5,Positivo
Não consegui fazer o Star Plus funcionar. Parece ser uma queixa recorrente dos usuários. Tentei todos os macetes que indicaram em vídeos do you tive mas não consigo usar esse streaming na TV com o fire TV,2022-01-29,4,Positivo
"Se a sua pergunta for essa, então eu respondo, sim, vale muito a pena! Minha tv 4K da Phillips tem um SO complicado de inserir novos aplicativos, ficando refém somente da grid que acompanha a mesma, nesse contexto pensei em sanar esse problema, não trocando de tv, como a maioria faria e faz, mas se pensarmos no custo x benefício do FireTV, vale muito a pena! O SO da FireTV algumas vezes dá umas engasgadas(lag), mas nada muito ""Ó minha nossa, que arrependimento ter comprado isso! Nada disso! Menos drama por favor!"" Na proposta dele, entrega sim o que promete e ainda de quebra substitui o controle remoto da TV, pela versão que comprei. Prático não?! Parabéns Amazon por ter salvo a minha TV! ^^",2022-01-23,5,Positivo
"Não estou conseguindo instalar o app Directv Go. Após baixar, recebo a seguinte mensagem: ""Parece que o seu dispositivo está com o modo Depuração USB ativado. Para aproveitar o DIRECTV GO, por favor, feche o aplicativo, desative a opção Depuração USB e inicie o aplicativo novamente"". Não encontrei no dispositivo onde desativar essa função. Entrei em contato com a Amazon no dia 26 de fevereiro, mas a pessoa que me atendeu, Marcia, não conseguiu resolver o problema e me pediu para entrar em contato com a Directv Go. Continuo sem acessar o Directv Go e preciso de uma posição da Amazon, pois a mensagem diz que o problema está no dispositivo FireStick. Fico no aguardo do contato. Obrigado",2022-03-07,4,Positivo
"Minha TV está nova, porém desatualizada e lenta. Estava procurando novas, aí busquei informações sobre o fire stick e decidi experimentar. Agora não preciso de uma tv nova, pois nela consigo assistir o que quero e com mais agilidade. Evito gastos e desperdício, pois seria mais um aparelho deixado de lado por não comportar mais as atualizações necessárias. Muito fácil de instalar e experiência que vale demais. Super recomendo!",2021-09-22,5,Positivo
"Gostei muito do produto. Com uma semana de uso, analisei que ele possui uma dificuldade e demora tremenda de conectar no Wi-Fi. Na instalação, coloquei a senha inúmeras vezes e obtia falha, mesmo com o uso do cabo extensor, e muito próximo ao roteador. O roteador tinha a internet funcionando perfeitamente no meu celular e notebook. Depois de muitas tentativas, ele conectou. Ao ligar na tomada, ele demora para conectar também, preciso às vezes de reiniciá-lo. O controle tem os comandos bem rápidos. Pelo app do Fire TV, os comandos são um pouquinho mais lentos. Recomendo, porém podiam trabalhar para dar um upgrade nas próximas atualizações para melhorar o desempenho de conexão ao Wi-Fi.",2021-12-02,4,Positivo
"O sistema roda rápido, é fácil de instalar. Necessita usar uma tomada externa, então ideal jogar tudo num filtro de linha, mas tudo bem quanto a isso. Gostei muito do desempenho do hardware, funciona bem rápido, não trava, a configuração é bem simples de fazer, a alternância de apps é bem transparente, melhor que muita smartTV. Memória interna suficiente, memória RAM suficiente. Não testei a alexia, pois não uso esse recurso.",2022-02-17,5,Positivo
"Tem uma interface muito bacana, muito superior a qualquer Smart TV! É muito rápido sendo superior a maioria dos TV Box! O controle é magnífico, controla o volume da TV e desliga a TV, a Alexa é perfeita. Velocidade de 2,5ghz e 5ghz de wi-fi é perfeita! Já já compro outro igual! 😂",2021-05-19,5,Positivo
"Gostei muito do FireTV Stick. O controle remoto com os controles de TV é muito bom. Funciona bem e é bem útil. A instalação é bem fácil. Acho ótimo poder deixar ele pendurado e escondido atrás da TV. Só me falta testar se funciona bem ligado direto na USB da TV, pra evitar mais um fio pendurado. O que me deixou decepcionado foi ainda não ter o app do HBO Max na plataforma da Amazon. Troquei uma MiBox que tinha o app pelo FireTV, que não tem, e sinto falta! Além disso, o desempenho poderia ser um pouco melhor, mas atende bem ao propósito dele.",2021-09-15,4,Positivo
"Pelo que custa, é um ótimo aparelho para transformar uma TV em Smart. Sua TV smart é antiga, lenta e limitada? Isso vai ajudar uma bela sobrevida à sua TV. Pontos de melhoria: Poderia tornar o teclado nas buscas mais inteligente, facilitar mais buscar preditivas, melhorar usabilidade. Não uso GloboPlay, mas uma pena que a Amazon e Globo não conseguiram estabelecer um acordo de parceria razoável, a indisponibilidade de Globoplay na App Store da Amazon é um inconveniente pra muitos usuários, claramente é um ponto que prejudica a decisão de adquirir o produto para diversos usuários.",2022-02-09,5,Positivo
"Comprei eu primeiro Fire TV na Black Friday de 2020, não teve um dia se quer que não usei o produto. Minha única reclamação até então era o fato de não ter como mudar o volume da TV com aquele controle, problema esse que foi corrigido nessa nova versão. Sendo assim, Esse é definitivamente um dos melhores dispositivos para transformar sua TV em Smart.
Mas por que não o melhor? Pela falta de Apps com Globolay e HBO Max. Eu sei que tem como instar por métodos alternativos. Mas minha tia jamais faria algo assim pelo simples motivo de não saber, e vejo que muita gente deixa de comprar por causa desse motivo. Afinal, se não tá na loja, então não tem tal app... Fora esse pequeno inconveniente, esse é de longe o melhor ""TV Box"" de todos! Muito mais que recomendado, acho obrigatório para quem gosta de assistir Lives, Youtube, ou ver séries no Prime Vídeo, Netflix, Disney+, Star+ e por aí vai...",2021-09-27,5,Positivo
"Utilizando a pouco mais de um mês e até o momento todas impressões foram boas.
Consegui facilmente instalar aplicativos fora da store utilizando o aplicativo Downloder para baixar os apks (arquivo de instalação).
O controle remoto também possibilita gerenciarmos o volume da TV e a função liga/desliga. Dessa forma consigo utilizar somente um controle trazendo mais praticidade.
Quanto ao software instalado até o momento não tenho do que reclamar. Meu uso é bem básico e estou bem satisfeito.
Minha TV já era Smartv (Samsung), mas com o Fire Stick ficou bem mais rápido pra navegar entre os apps.
Bem satisfeito com o produto.",2021-10-29,5,Positivo
"Ótimo produto, custo beneficio. Excelente muito rápido na navegação entre os apps. Não trava quando esta exibindo um filme, rápido na navegação entre títulos de filmes. Controle remoto excelente ergonomicamente muito bom. Torna a TV comum em uma Smart, com muito mais rapidez, que uma TV smart com aplicativos. A única situação desagradável é que quando vai instalar um aplicativo, mesmo sendo um app grátis tem que ter a liberação da Amazon. Que esta vinculado a liberação do cartão de credito, no seu cadastro na Amazon. Quando instala um app em seguida recebe um e-mail de notificação sem cobrança pois se trata de um aplicativo grátis, isto se torna incomodo para o usuário.",2021-05-17,5,Positivo
"O fire tv é melhor do que eu esperava, eu comprei na intenção de usar os aplicativos de streaming, mas ele vai muito além disso, a velocidade dele é realmente surpreendente, o sistema integrado Alexa é de grande ajuda, além de ser bem divertido, a imagem é muito linda e a variedade de aplicativos que é possível instalar nele é realmente muito boa. Na minha tv da sala o controle não funcionou para ligar e desligar a tv e o volume, mas na do quarto funcionou perfeitamente, com a tv desligada eu chamo a Alexa e peço para ela ligar a tv e a resposta é instantânea, o problema está na minha tv da sala ser antiga.
Eu recomendo muito a compra, pois você não irá se arrepender.",2021-12-02,5,Positivo
"Maravilhoso, muito melhor que o anterior a este. Mudou muita coisa, você altera o volume pelo controle, vem com 4 botões para app, comando de voz. A integração com a alexa é perfeita! Amamos valeu a pena a esperar. Preço justo.
A entrega super demorou. Mas fomos avisados várias vezes sobre o processo de envio. Eles venderam muito muito e não deram conta da demanda. Super recomendado.",2021-11-21,5,Positivo
"NAO ADIANTA TER O CONTROLE DO VOLUME, EU NAO SOU TI MAS PARA MIM O UP-GRADE DO MODELO LITE ERA PARA TER SOMENTE UM CONTROLE...MAS NAO PROCEDE, POIS ALEXA NAO TROCA DE INGRESSO E NAO ADIANTA...PRECISA DO CONTROLE DO TV DE QUALQUER FORMA PARA SELECIONAR A ENTRADA HDMI CORRETA DA FIRE STICK......TRISTE",2022-01-24,1,Negativo
"Fácil de usar. Configurou aumtomaticamente os comandos de liga/desliga, aumenta/diminui volume e coloca no mudo da minha TV ou seja não preciso do controle da TV. Tem todos os Apps que uso, Amazon Prime Vídeo, Netflix, Disney+, HBOMAX e Youtube.(tenho todos). Já tive 2 TVBox Android, mas o Fire TV Stick é o que cumpriu a missão de transformar a TV em uma Smart, a do quarto é uma de 50 Smart e minha esposa quer a minha 40 Sony pra ela por causa do Fire Stick. Recomendo a todos que queiram transforma sua TV antiga em uma Super Smart TV. A Alexia é demais reconhe tudo, até passar para o próximo episódio no Netflix.",2021-12-02,5,Positivo
"Ao contrário do que muita gente pensa, o Fire Tv vale a pena, mesmo para quem possui uma TV Smart. Isso porquê geralmente as TVs Smart possuem apps que são lentos ou travam. Já o Fire Tv é bem rápido. No entanto uma falha gravíssima do produto é a pouca memória para a instalação da vasta gama de programas que é possível instalar. A Amazon bobeou feio nesse ponto. Falta opção de modelos com mais memória ou um slot para cartão de memória. Mesmo com opções alternativas para driblar o problema, como o uso de um cabo OTG, não é possível a instalação da maioria dos programas.",2022-03-05,4,Positivo
"O melhor do mercado! Se você está sofrendo com seu Chromecast, dê adeus a ele e invista no Fire Stick sem medo de ser feliz. Realmente transforma qualquer tv que tenha entrada HDMI em Smart. Inclusive, já tinha a versão Lite e não tive a menor dúvida em adquirir esta versão, que tem botão liga/desliga, além de controle de volume. Já vem com Disney, Netflix e Prime Vídeo. Super recomendo!",2021-11-08,5,Positivo
"PROS: Favorece quem tem prime video.
Controle com alexa dispensa ter que digitar pra fazer procuras (exelente).
Melhor preço e custo beneficio do mercado.
Da mais atençao que os concorrentes ao mercado brasileiro.
CONTRAS: Outros serviços de streaming nao recebem o mesmo destaque que os do prime video. Falta imparcialidade da amzon nisso.
Nao é possivel espelhar o smartphone de imediado, mesmo o fire tv ser um google modificado. Pra quem tem android ou ios, vai achar ruim. Ou seja todos! ja que a amazon nao tem sistem operacional em telefonia.
Poderia integrar o app de compras da amazon no fire tv. Seria inteligente fazer isso.",2022-02-23,4,Positivo
Gostei muito! Só achava que quando ficasse inativo deveria desligar junto com a tv para economizar energia. Outra situação seria nao sair da tela de quando ficasse na pause de algum filme. Temos que retornar sempre. No resto muito bom e melhor do que o do Google. Recomendo.,2021-10-07,4,Positivo
"Mais de uma semana de uso e estou curtindo bastante. Bem legal a integração com a echo show 8 e demais funcionalidades.
Só um ponto que eu percebi, é a Alexa não conseguindo interagir com o Youtube ao dar o comando para a minha echo show 8 abrir um vídeo ou canal específico do Youtube na fire TV.
Isso se dá pelo fato da echo show 8 achar que tem que fazer a pesquisa específica nela mesmo e não entender que é na fire TV.
Abrir o youtube eu contornei criando uma rotina.
Mas a pesquisa específica no youtube, acredito que isso será melhorado nas próximas atualizações.
Creio eu KKKKKK...",2021-12-09,5,Positivo
"Eu tenho o FireTV e os seus principais concorrentes, Apple TV e Google Chromecast.
FireTV é muito lento, desde iniciar ele até a navegação. O controle remoto tem um tamanho bom e uma construção legal. Mas o pior de tudo é que nao consigo conectar a conta da própria Amazon Prime no FireTV. Não tem jeito. Tentei de tudo. Os concorrentes são fáceis de instalar e a interação com os apps das outras empresas funciona bem. FireTV mao consegue conectar a conta da própria Amazon.",2022-03-02,1,Negativo
"A qualidade do equipamento e os benefícios que consegui ao instalar na TV me deixaram muito satisfeita, Apesar da minha TV Samsung ser Smart o Fire TV permite que acesse aos canais do Youtube e Prime com mais velocidade, além de instalar outros aplicativos e conectar com minha Alexa. Super indico e recomendo! Sem falar na entrega da Amazon que é um capítulo a parte, pois sempre nos surpreende com a velocidade em que recebo os produtos.",2022-01-04,5,Positivo
"Comprei o Fire Stick porque sei que o produto é de qualidade e a minha Smartv não estava recebendo atualização mais, porém nem tudo são flores. O controle, que tem uma aparência moderno e de boa qualidade, decepciona ao pegar para usá-lo... Ao trocar de canal a tampa traseira, mesmo encaixada, fica folgada e com isso fazendo barulho desconfortável e dando impressão que o controle é de baixa qualidade. De cara comprei uma capa para amenizar meu desconforto.
Obs: quero parabenizar a Amazon pela entrega rápida pois comprei na madrugada de quinta para sexta 26/11 e a encomenda chegou ontem (domingo) às 16hs.",2021-11-29,5,Positivo
"Tenho uma TV Smart de 2016 da Samsung, apesar de ter alguns aplicativos funcionando, ela trava muito mesmo e chega a fechar os aplicativos sozinho quando trava de vez... Com o Fire Tv Stick, a fluidez da TV fica em quase 100%, fora que vinculada com a minha Echo Dot, tem muitas vantagens de controle de episódios, aplicativos abertos, ligas e desligar a TV e muito mais. Fora que essa versão tem a possibilidade de controle de volume e liga/desliga a TV que torna tudo muito mais prático com apenas 1 controle; até o momento não tenho nenhuma critica. Em vez de comprar uma TV nova que não está menos de 2 mil reais, consegui a mesma qualidade com esse aparelho!!",2021-06-23,5,Positivo
"Adorei o produto. Mesmo com a própria samsung afirmando que meu modelo de tv não iria rodar o fire tv, ele está funcionando perfeitamente. Para ficar perfeito faltou apenas um comando rápido para alternar o volume do receptor de audio e o audio da tv, para trocar vc tem de acessar as configuraçoes e mudar manualmente. Para completar bem que podia ter opção de comprar os apps do fire tv pelo site da amazon usando cartão de débito. Infelizmente eles limitam apenas ao crédito.",2021-06-16,5,Positivo
"Pela grandeza do nome, não é aceitável não ter disponível de forma simples os aplicativos mais utilizados de streaming, por mais que o controle já tenha Netflix, Disney Plus e Amazon Prime, porém não tem HBO MAX. Tem recurso para instalar, mas que for iniciante não é tão simples. Achei que pela grandeza tivesse esses aplicativos mais simples e fácil a disposição deles.",2021-07-12,2,Negativo
"Primeiro a entrega fiz a compra dia 11 para entrega dia 19 e chegou 15. Chegou bem embalado com a pilhas para o controle e o extensor HDMI que ajudou bastante na conectividade. Consegui baixar HBO e todos os streaming que uso. Minha TV da sala não pega a internet wi-fi da Claro mas o aparelho funcionou bem. A instalação foi fácil e rápida.
Usar o aparelho é muito fácil! Foi a melhor compra que fiz. Tinha visto tanta lá avaliações ruins, fiquei com medo de comprar. Mas minha mãe comprou primeiro e gostei tanto que tive que fazer o esmo e não me arrependi. Vale cada centavo. Funciona perfeitamente!",2022-01-17,5,Positivo
"Fácil de instalar, e utilizar. Única parte meio ""difícil"" foi autorizar o acesso a conta da Amazon, mas isso foi por eu ter que ir e voltar no PC para fazer.
Achei o tempo de resposta bem rápida, pude ir e voltar nas paginas sem travar, até logo após liga-lo. Variedade boa de apps para utilizar, e até neles o tempo de resposta foi rápida e não vi nenhuma lentidão.
Usei ele na minha TV que não é smart e funcionou normalmente, só precisa de uma entrada HDMI na TV.",2022-02-05,5,Positivo
"O controle é de excelente qualidade e tudo veio muito bem embalado.
A Alexa pode pesquisar por qualquer filme/gênero em qualquer plataforma compatível com o dispositivo.
A configuração é um pouco burocrática por ter que digitar no controle todas as credenciais de acesso dos aplicativos (podiam integrar isso no comando de voz da Alexa, pra facilitar a digitação).
Alguns comandos também não funcionam muito bem, como nos cenários:
1. (Funciona) - ""Alexa, abra o Star+ e procure pelo filme X"";
2. (Não funciona) ""Alexa, procure por filme X no Star+"".
Precisa dar uma melhorada nessa IA. Fora isso, produto muito bom!",2022-02-10,5,Positivo
"Se você utiliza senha para acessar Netflix, Prime, Disney etc, o botão do controle que iria direto não funciona, nem a Alexa. Da na mesma do que o modelo mais barato. Além disso, no dia que chegou, o preço baixou consideravelmente. Só não devolvi porque já tinha instalado na TV. Uma pena.",2021-11-28,3,Positivo
